fold,draw,kind,subtype,test_n,ibs_pooled,ibs_independent,pooled_minus_independent
2,12,flipped,del1p,73,0.13070275536943657,0.14626601291994074,-0.015563257550504167
2,12,flipped,del13q,87,0.1250611808011215,0.1252086850177092,-0.00014750421658771273
2,12,flipped,del17p,53,0.11786237671850472,0.14564070134789248,-0.027778324629387757
2,12,flipped,hyperdiploid,111,0.10591140250143838,0.10572196673456374,0.00018943576687463493
2,13,flipped,amp1q,85,0.10036848484315433,0.0959197662903758,0.0044487185527785356
2,13,flipped,del1p,62,0.10884868388751985,0.10994616822381643,-0.0010974843362965836
2,13,flipped,del13q,112,0.1127590977398833,0.11763720301503675,-0.004878105275153449
2,13,flipped,del17p,50,0.13788952531700607,0.15407592970071696,-0.016186404383710884
2,13,flipped,hyperdiploid,107,0.09492334804969296,0.09379859014891336,0.0011247579007796077
2,14,flipped,amp1q,81,0.12446442563113261,0.1216127808531979,0.002851644777934703
2,14,flipped,del1p,69,0.1560887418345756,0.1537666184166669,0.002322123417908717
2,14,flipped,del13q,80,0.11227658853857439,0.10671318431249786,0.0055634042260765265
2,14,flipped,del17p,43,0.14398226036569045,0.14848006087127844,-0.004497800505587984
2,14,flipped,hyperdiploid,115,0.10327681246523808,0.10075445519518401,0.0025223572700540653
2,15,flipped,amp1q,91,0.10685537838827718,0.10955821591425793,-0.0027028375259807585
2,15,flipped,del1p,63,0.1222047444554849,0.12585722493868132,-0.003652480483196413
2,15,flipped,del13q,87,0.08960905885915159,0.09259604384481193,-0.002986984985660343
2,15,flipped,del17p,45,0.12515529793097976,0.13182168646634884,-0.006666388535369078
2,15,flipped,hyperdiploid,113,0.10285325307542652,0.10382883710964715,-0.0009755840342206279
3,0,real,amp1q,76,0.10380117491614665,0.10331410872971104,0.0004870661864356113
3,0,real,del1p,47,,,
3,0,real,del13q,98,0.13785998170851327,0.1610075293590564,-0.023147547650543138
3,0,real,del17p,29,0.12034734342183016,0.11097450781093499,0.009372835610895178
3,0,real,hyperdiploid,108,0.1349890171368297,0.13364993799438993,0.0013390791424397752
3,1,flipped,amp1q,85,0.13446565915902906,0.15251548501010492,-0.018049825851075868
3,1,flipped,del1p,74,0.21910592418546945,0.2744578268151851,-0.05535190262971565
3,1,flipped,del13q,102,0.1295697570064085,0.12415561681555028,0.005414140190858216
3,1,flipped,del17p,35,0.14643434461112445,0.21546349242802534,-0.0690291478169009
3,1,flipped,hyperdiploid,107,0.13429548554273052,0.12896923726404141,0.005326248278689105
3,2,flipped,amp1q,91,0.14714040462661662,0.15382193360936078,-0.006681528982744156
3,2,flipped,del1p,85,0.16017625270796648,0.15939274671461645,0.000783505993350031
3,2,flipped,del13q,99,0.15092363198961053,0.15944851830388931,-0.008524886314278779
3,2,flipped,del17p,39,0.10125230822525087,0.09388470314846184,0.007367605076789033
3,2,flipped,hyperdiploid,106,0.12803272642632843,0.12349560917555832,0.004537117250770106
3,3,flipped,amp1q,76,0.10596659573572166,0.11049677918102369,-0.0045301834453020245
3,3,flipped,del1p,71,0.1371801803395922,0.14721944822116223,-0.01003926788157003
3,3,flipped,del13q,92,0.14152375808473155,0.16823450872403325,-0.0267107506393017
3,3,flipped,del17p,38,0.11700991288636904,0.09759372120240116,0.01941619168396788
3,3,flipped,hyperdiploid,107,0.13664893880083556,0.1356159034248052,0.0010330353760303612
3,4,flipped,amp1q,92,0.12882115856806564,0.12719714593303527,0.0016240126350303696
3,4,flipped,del1p,84,0.16196124618553234,0.17171916022290193,-0.009757914037369586
3,4,flipped,del13q,99,0.1173098293817028,0.1443956580680298,-0.027085828686326988
3,4,flipped,del17p,37,0.13211983466796512,0.13393450328268872,-0.0018146686147235969
3,4,flipped,hyperdiploid,109,0.1349744805137051,0.1369215529458893,-0.001947072432184227
3,5,flipped,amp1q,86,0.10758852526890618,0.10279742430217655,0.004791100966729633
3,5,flipped,del1p,89,0.1353241929367513,0.13170301458992062,0.003621178346830678
3,5,flipped,del13q,105,0.12082004486593503,0.13357612730778443,-0.012756082441849392
3,5,flipped,del17p,46,0.11675144448779676,0.10140100421426758,0.015350440273529178
3,5,flipped,hyperdiploid,99,0.11925737627964184,0.12189358227988968,-0.0026362060002478455
3,6,flipped,amp1q,86,0.1331993027854659,0.14322207334889817,-0.01002277056343226
3,6,flipped,del1p,70,0.16808357540391639,0.183359494403572,-0.015275918999655608
3,6,flipped,del13q,97,0.1329664250393709,0.13988241127145457,-0.006915986232083671
3,6,flipped,del17p,41,0.10721941423979597,0.10318791801883606,0.0040314962209599126
3,6,flipped,hyperdiploid,105,0.15172542103687334,0.15314370061703012,-0.0014182795801567782
3,7,flipped,amp1q,92,0.12083462363635865,0.12346641870925709,-0.0026317950728984435
