patient_id	file_id	file_name	sample_id
MMRF_1257	bef71313-fa10-439b-9ced-718bdc8abbef	8694f07a-e774-4665-b580-00af47930717.rna_seq.augmented_star_gene_counts.tsv	MMRF_1257_1_BM_CD138pos
MMRF_1260	4d125402-699a-4769-a73a-bdd35b5be865	19e240a4-44ff-40c8-b9be-3f68fb72d90d.rna_seq.augmented_star_gene_counts.tsv	MMRF_1260_1_BM_CD138pos
MMRF_1261	d69449d8-f832-4d85-8357-b6a688f96792	a1043a91-d0e1-4633-9c93-4e96d09afdde.rna_seq.augmented_star_gene_counts.tsv	MMRF_1261_1_BM_CD138pos
MMRF_1266	073e7ed2-63e3-436e-9cca-1b3483b606a5	2925435f-b63d-4ede-a36e-b90cab26f7d1.rna_seq.augmented_star_gene_counts.tsv	MMRF_1266_1_BM_CD138pos
MMRF_1267	03ab9977-aa30-426f-9818-a0fa03e4016e	86c6b63a-fabf-42b4-b7c7-e6158be5f7cf.rna_seq.augmented_star_gene_counts.tsv	MMRF_1267_1_BM_CD138pos
MMRF_1269	11eef282-c723-41d1-824c-531fe31db814	ea7f2d24-4cd0-4afa-9e73-706d76b7262e.rna_seq.augmented_star_gene_counts.tsv	MMRF_1269_1_BM_CD138pos
MMRF_1270	115587ba-463b-4ce1-8eb0-bc5f9ed9d6a8	22b6daad-9e5d-4a24-a2cc-5e07b78b0196.rna_seq.augmented_star_gene_counts.tsv	MMRF_1270_1_BM_CD138pos
MMRF_1274	40c84b00-a606-4df3-a936-6844da4038d2	692d131d-28c5-4eeb-8144-0112b71239cd.rna_seq.augmented_star_gene_counts.tsv	MMRF_1274_1_BM_CD138pos
MMRF_1277	9a18b84c-cde2-456c-8dda-0da0c7c31620	69b329b6-2ff0-45a8-9f06-b81df8a8e944.rna_seq.augmented_star_gene_counts.tsv	MMRF_1277_1_BM_CD138pos
MMRF_1281	6026d715-261e-499b-a8a9-35d4ec252b1c	0126848c-f9d5-4d37-a8ee-c96ffd309a6a.rna_seq.augmented_star_gene_counts.tsv	MMRF_1281_1_BM_CD138pos
MMRF_1284	1d2f7147-692d-4f04-81ef-e9e462c7a635	331be8e2-3bd6-449b-b9c1-5d14f34852a1.rna_seq.augmented_star_gene_counts.tsv	MMRF_1284_1_BM_CD138pos
MMRF_1285	3b9a5787-4569-44ba-aa30-ba5f1573d735	9c66853a-20e0-405e-ada8-77ffff99ef6d.rna_seq.augmented_star_gene_counts.tsv	MMRF_1285_1_BM_CD138pos
